lincs ID,cluster
BRD-K79759585,9
BRD-K22134346,14
BRD-A72703248,1
BRD-A64125466,4
BRD-K55468218,16
BRD-A09094913,13
BRD-K99595596,14
BRD-K42635745,16
BRD-K69608737,13
BRD-K93645900,5
BRD-K34820100,15
BRD-A35588707,17
BRD-A22844106,13
BRD-A06352418,14
BRD-A55393291,16
BRD-A43940795,9
BRD-A46393198,14
BRD-A93255169,7
BRD-K09631521,11
BRD-K00603606,2
BRD-K82562631,9
BRD-K64514229,11
BRD-K51350053,2
BRD-K70778732,6
BRD-K80431395,14
BRD-K41731458,1
BRD-K53220666,3
BRD-A19195498,4
BRD-K99621550,14
BRD-K69600043,1
BRD-A56012032,6
BRD-A51714012,2
BRD-M45964048,12
BRD-A11678676,14
BRD-K42748308,6
BRD-K45117373,2
BRD-K42679050,17
BRD-K06712146,12
BRD-A87445400,6
BRD-K45296539,5
BRD-K66353228,17
BRD-K17110974,14
BRD-K25836724,12
BRD-K77830450,4
BRD-A90490067,9
BRD-K46384212,11
BRD-A79768653,4
BRD-K30240666,14
BRD-K90735586,4
BRD-K28470988,4
BRD-K69328504,3
BRD-K19216856,17
BRD-K50590187,4
BRD-K14329163,11
BRD-K27316855,14
BRD-A13195221,6
BRD-K86682249,16
BRD-K30064966,7
BRD-A13122391,13
BRD-K19922318,11
BRD-K14696368,8
BRD-K98404142,1
BRD-K05402890,1
BRD-A20131130,1
BRD-K41087962,9
BRD-A94451536,13
BRD-K59470558,10
BRD-K56477805,16
BRD-K79382620,2
BRD-K61053657,11
BRD-K59962020,1
BRD-K43620258,13
BRD-K01868942,10
BRD-K81647657,7
BRD-K95606637,10
BRD-K53903639,7
BRD-K49371609,7
BRD-K84924563,6
BRD-K61829047,17
BRD-A81936046,5
BRD-K44241590,7
BRD-A31107743,1
BRD-K56301217,3
BRD-K82746043,10
BRD-K91623615,16
BRD-K87142802,7
BRD-K01192156,10
BRD-K41996876,5
BRD-K88560311,10
BRD-K00615600,5
BRD-A67373739,1
BRD-K06854232,2
BRD-K56334280,16
BRD-K73395020,10
BRD-K41895714,16
BRD-K01121114,5
BRD-K52836380,2
BRD-K02113016,4
BRD-K69932463,16
BRD-K28296557,12
BRD-K70792160,16
BRD-K04887706,1
BRD-K88510285,2
BRD-K64890080,7
BRD-K04623885,9
BRD-M86331534,15
BRD-K71799778,8
BRD-K02950022,11
BRD-K34581968,9
BRD-K48923948,11
BRD-K13049116,1
BRD-K10882151,3
BRD-K47983010,10
BRD-K15025317,8
BRD-K45399554,8
BRD-K61662457,4
BRD-K83289131,5
BRD-K92241597,14
BRD-K88544581,3
BRD-K18190982,1
BRD-K02822062,8
BRD-K23363278,4
BRD-A84045418,10
BRD-K01779529,16
BRD-K82818427,7
BRD-A05874290,11
BRD-K74402642,14
BRD-K78716413,13
BRD-K61192372,16
BRD-K52904470,11
BRD-K80672993,4
BRD-K77432048,1
BRD-K69690935,6
BRD-K86191271,10
BRD-K79983625,9
