lincs ID,cluster
BRD-K56287385,14
BRD-A98670841,5
BRD-K71322910,3
BRD-K72192970,16
BRD-A38275906,8
BRD-A60256353,17
BRD-K55498981,16
BRD-A09749088,11
BRD-A33325795,16
BRD-K01400178,5
BRD-K14444135,5
BRD-K99515112,16
BRD-K43739430,5
BRD-K16798053,12
BRD-K67364256,16
BRD-A25852922,13
BRD-K95673870,14
BRD-K47622659,16
BRD-K18587499,8
BRD-K82395301,8
BRD-K30545681,14
BRD-K38910949,16
BRD-K76565902,4
BRD-K66763349,2
BRD-K58698715,10
BRD-K51608872,5
BRD-K28774715,14
BRD-K20032655,10
BRD-K79382620,16
BRD-K68202742,5
BRD-K14681867,5
BRD-K45114207,5
BRD-K63915849,10
BRD-K32836707,11
BRD-K88551539,5
BRD-K31484631,1
BRD-K83691318,7
BRD-K22631935,16
BRD-K76698671,1
BRD-A80574334,12
BRD-A11702965,7
BRD-A26199074,2
BRD-A52193669,17
BRD-K05593511,9
BRD-K04923131,5
BRD-A80960055,5
BRD-K39944607,17
BRD-A13346522,16
BRD-K25311561,17
BRD-K14880289,17
BRD-A31374339,7
BRD-A36059655,10
BRD-K31841256,13
BRD-K05977823,11
BRD-K40300908,10
BRD-K12105018,15
BRD-K67470788,10
BRD-A20697603,12
BRD-K91047982,10
BRD-K32927008,17
BRD-K91701654,4
BRD-A59808129,11
BRD-A84327315,11
BRD-K42419294,10
BRD-K88735704,14
BRD-A61666925,1
BRD-A37656721,11
BRD-K61341215,5
BRD-K07877311,16
BRD-K10906552,17
BRD-K07061353,1
BRD-K25979535,11
BRD-A01317026,13
BRD-K94294671,9
BRD-K84937637,1
BRD-K74733595,5
BRD-K01493881,5
BRD-A52886023,14
BRD-A77577770,13
BRD-K57926513,4
BRD-A50454580,12
BRD-K73982490,9
BRD-A11007541,5
BRD-K65411918,1
BRD-K59946561,11
BRD-K22429181,14
BRD-K13927029,4
BRD-K65331431,9
BRD-K04701986,1
BRD-A97701745,10
BRD-K41170226,11
BRD-K18135438,4
BRD-K68144790,5
BRD-K81062487,10
BRD-K33572481,11
BRD-K30743633,13
BRD-U06594984,13
BRD-K20986251,10
BRD-A38878059,14
BRD-K24656285,14
BRD-K24994810,14
BRD-U66370498,4
BRD-K43880410,1
BRD-K55896799,16
BRD-A77118605,11
BRD-A37837077,10
BRD-A98283014,15
BRD-K35128472,11
BRD-K53972329,14
BRD-A80788753,17
BRD-K13087974,14
BRD-K77175907,1
BRD-K64935403,16
BRD-K77625572,1
BRD-K85985071,1
BRD-K38775274,11
BRD-A55756846,9
BRD-K62959606,8
BRD-K70549064,12
BRD-K47943470,11
BRD-K09790412,17
BRD-K40255344,2
BRD-K43764301,11
BRD-A74904029,6
BRD-K80725632,16
BRD-K32710582,1
BRD-K67506692,14
BRD-K56064827,16
BRD-K99291625,2
BRD-A18497530,6
BRD-A64228451,11
BRD-A11706664,13
BRD-K08115555,8
BRD-U08759356,14
BRD-K06080977,12
BRD-A93893742,10
BRD-K50720187,10
BRD-K79437791,13
BRD-K38756014,9
BRD-K75181824,9
BRD-U01690642,5
BRD-K95402279,15
BRD-K28178212,7
BRD-K98684188,1
BRD-K35483542,10
BRD-K76723084,11
BRD-K89085489,14
BRD-K49685476,4
BRD-K62012036,7
BRD-A96799240,13
BRD-K00184207,4
BRD-K37846922,4
BRD-A36707673,9
BRD-K61480498,1
BRD-K26674531,9
BRD-K47539947,10
BRD-A80775386,3
BRD-K61463582,10
BRD-K01507359,5
BRD-A39646320,15
BRD-K86465814,11
BRD-A89067742,7
BRD-K23841751,4
BRD-K11147885,10
BRD-A45498368,14
BRD-K81528515,1
BRD-K83963101,2
BRD-K79404599,10
BRD-K58772419,10
BRD-K52751261,16
BRD-K99545815,7
BRD-K13566078,9
BRD-K01253243,3
BRD-K64800655,1
BRD-K05804044,7
BRD-K49669041,17
BRD-K00337317,8
BRD-A29901043,14
BRD-K68407802,17
BRD-K82091397,11
BRD-K93918653,14
BRD-K51313569,9
BRD-K78431006,5
BRD-K64052750,10
BRD-K70401845,14
BRD-K66359319,16
BRD-K36740062,1
BRD-K53561341,4
BRD-K14232336,17
BRD-A67748489,14
BRD-A72180425,15
BRD-K85493820,1
BRD-K23192422,3
BRD-K98372770,4
BRD-K99451608,11
BRD-A39052811,9
BRD-K55420858,3
BRD-K42541148,11
BRD-K09191212,14
BRD-K67258146,9
BRD-A03946276,16
BRD-K37160541,14
BRD-K33586157,16
BRD-K66902379,14
BRD-K69516039,16
BRD-K32111336,1
BRD-A13461302,10
BRD-K36529613,11
BRD-K09436313,17
BRD-K83794624,6
BRD-K46212057,16
BRD-K60460488,3
BRD-K33551950,8
BRD-K77286328,10
BRD-K33926001,11
BRD-K93331255,5
BRD-K82206012,15
BRD-K99749624,7
BRD-K99964838,14
BRD-K21450440,11
BRD-K85402309,3
BRD-K50168500,2
BRD-K74514084,14
BRD-K99369265,14
BRD-M64432851,1
BRD-K77908580,7
BRD-K71035033,8
BRD-K52911425,13
BRD-K02965346,16
BRD-K28428262,10
BRD-K56957086,1
BRD-K67578145,7
BRD-K95901403,2
BRD-K13514097,13
BRD-K16485616,1
BRD-K83988098,11
BRD-A41692738,8
BRD-K73293050,17
BRD-K83837640,11
BRD-K72420232,10
BRD-K99498722,3
BRD-K17823458,4
BRD-K17306061,14
BRD-M16762496,12
BRD-K07265709,2
BRD-K08206212,16
BRD-K73838513,17
BRD-K77008974,14
BRD-K99260425,11
BRD-K91900765,11
BRD-K66615216,3
BRD-K91696562,16
BRD-K84639753,11
BRD-K89014967,7
BRD-K81783531,9
BRD-K70557564,8
BRD-K48722833,2
BRD-K70511574,2
BRD-K10916986,15
BRD-K54472332,11
BRD-M72442222,5
BRD-K37130656,10
BRD-K07736136,17
BRD-K37720887,16
BRD-K66956375,1
BRD-K46062088,14
BRD-K81142122,3
BRD-K80622725,1
BRD-K78062244,2
BRD-K19499941,1
BRD-K94018295,14
BRD-K17343332,10
BRD-A99518825,11
BRD-A02198599,17
BRD-K15891719,17
BRD-K65258912,14
BRD-A26595446,10
BRD-K48576794,1
BRD-K38324426,4
BRD-U97083655,14
BRD-K36627727,14
BRD-K62459624,12
BRD-K49181186,5
BRD-K24426149,15
BRD-K68313733,17
BRD-K02421873,11
BRD-K25991148,1
BRD-K32644160,17
BRD-M30523314,2
BRD-A26002865,14
BRD-K77390737,2
BRD-K29582115,4
BRD-K43797669,8
BRD-K71879491,5
BRD-A00100033,14
BRD-A02176148,16
BRD-K18910433,5
BRD-A03816571,16
BRD-A04668240,14
BRD-A07875874,6
BRD-A00267231,17
BRD-A07029265,6
BRD-A03623303,17
BRD-A15100685,7
BRD-A15100685,15
BRD-A15100685,9
BRD-A15100685,1
BRD-A33746814,6
BRD-A33746814,2
BRD-A33746814,1
BRD-A59431241,7
BRD-A59431241,9
BRD-A59431241,6
BRD-A59431241,13
BRD-A70150975,12
BRD-A70150975,6
BRD-A70150975,6
BRD-A70150975,9
BRD-K00640357,17
BRD-K00640357,1
BRD-K00640357,1
BRD-K00640357,1
BRD-K55896799,17
BRD-K32610195,6
BRD-K55896799,12
BRD-K55896799,12
BRD-K90370028,5
BRD-K90370028,17
BRD-K90370028,13
BRD-K90370028,1
BRD-K58044374,3
BRD-K58044374,1
BRD-K58044374,1
BRD-K58044374,8
BRD-K58547375,17
BRD-K58547375,9
BRD-K58547375,1
BRD-K58547375,15
BRD-A59431241,12
BRD-A59431241,1
BRD-A59431241,13
BRD-A59431241,6
BRD-K16604218,17
BRD-K16604218,4
BRD-K16604218,2
BRD-K16604218,12
BRD-K73037408,13
BRD-K73037408,1
BRD-K73037408,1
BRD-K73037408,12
BRD-K14700434,1
BRD-K14700434,15
BRD-K14700434,8
BRD-K14700434,1
BRD-K19326298,12
BRD-K19326298,2
BRD-K19326298,2
BRD-K19326298,17
BRD-K25444257,1
BRD-K25444257,17
BRD-K25444257,13
BRD-K25444257,4
BRD-K11306851,2
BRD-K11306851,12
BRD-K11306851,12
BRD-K11306851,1
BRD-K73183319,8
BRD-K73183319,1
BRD-K73183319,1
BRD-K73183319,14
BRD-K37417543,6
BRD-K37417543,1
BRD-K37417543,12
BRD-K37417543,6
BRD-K92084213,1
BRD-K92084213,2
BRD-K92084213,1
BRD-K92084213,13
BRD-K65111630,1
BRD-K65111630,1
BRD-K65111630,2
BRD-K65111630,1
BRD-K65389993,12
BRD-K56334280,17
BRD-K65389993,2
BRD-K65389993,9
BRD-K16582605,1
BRD-K16582605,13
BRD-K16582605,8
BRD-K16582605,16
BRD-K45028728,13
BRD-K45028728,15
BRD-K45028728,6
BRD-K45028728,11
BRD-A15100685,15
BRD-A15100685,1
BRD-A15100685,1
BRD-A15100685,12
BRD-A33746814,17
BRD-A33746814,1
BRD-A33746814,1
BRD-K07572174,9
BRD-K07572174,1
BRD-K07572174,14
BRD-K07572174,2
BRD-A70150975,1
BRD-A70150975,12
BRD-A70150975,2
BRD-A70150975,17
BRD-A69592287,2
BRD-A69592287,17
BRD-A69592287,1
BRD-A58955223,4
BRD-A58955223,16
BRD-A58955223,8
BRD-A58955223,12
BRD-K76021727,16
BRD-K36452089,1
BRD-K36452089,9
BRD-K36452089,1
BRD-A34462049,2
BRD-A34462049,8
BRD-A34462049,1
BRD-A34462049,13
BRD-K91290917,15
BRD-A66861218,1
BRD-A29322418,14
BRD-K89595132,6
BRD-K59058766,7
BRD-A77291778,11
BRD-K13819402,9
BRD-A04553218,4
BRD-K24053527,4
BRD-K54233340,1
BRD-K51677086,6
BRD-K49519092,16
BRD-K88741031,11
BRD-K50311478,17
BRD-K42098891,12
BRD-K67100011,12
BRD-K02581333,17
BRD-K16604360,14
BRD-K03557653,6
BRD-K63675182,17
BRD-A10303790,1
BRD-K61033289,16
BRD-K08451418,11
BRD-A04706586,6
BRD-K83354763,16
BRD-K40853697,15
BRD-K59036917,6
BRD-A71390734,2
BRD-K08703257,16
BRD-K07303502,13
BRD-K01976263,14
BRD-K16701932,12
BRD-K53792571,16
BRD-K09499853,3
BRD-U94846492,11
BRD-K23875128,8
BRD-A15079084,14
BRD-K14749055,7
BRD-K89209981,11
BRD-K91449330,5
BRD-K65283978,11
BRD-K15206810,1
BRD-K92742972,4
BRD-K40378749,16
BRD-K14609189,16
BRD-K68863575,14
BRD-K70917163,16
BRD-K10846167,7
BRD-K58033748,8
BRD-K74777906,3
BRD-K82768082,14
BRD-K98676510,14
BRD-K63712590,6
BRD-K40441731,7
BRD-K53032901,16
BRD-K63178889,17
BRD-K00555438,14
BRD-K77681376,7
BRD-K01896723,13
BRD-K92158425,7
BRD-K57353465,1
BRD-K67742177,2
BRD-K20914082,14
BRD-K08325710,15
BRD-K76595177,15
BRD-K02641134,7
BRD-K36817836,15
BRD-K79222491,12
BRD-K30649484,6
BRD-K09716788,6
BRD-K41240505,1
BRD-K31453413,1
BRD-K40480443,13
BRD-K91134378,6
BRD-K40151202,15
BRD-K02735834,12
BRD-K90705745,4
BRD-K37150847,17
BRD-K26947839,17
BRD-A55609290,4
BRD-K56977905,7
BRD-K89306950,15
BRD-K06432680,1
BRD-K91184774,1
BRD-A94567954,17
BRD-K55966666,12
BRD-K13604076,1
BRD-K37021324,1
BRD-K58519325,17
BRD-K41284916,12
BRD-K91264756,2
BRD-A24225650,1
BRD-K61993165,12
BRD-A19928752,1
BRD-K60228169,13
BRD-K11717138,14
BRD-K63157263,15
BRD-K77014406,6
BRD-K83780283,13
BRD-K81538844,2
BRD-K50776152,12
BRD-K12168891,15
BRD-K43913647,10
BRD-K36772364,8
BRD-K63488275,9
BRD-K15888437,1
BRD-K69231968,12
BRD-K56478238,2
BRD-K06186994,10
BRD-A56245458,12
BRD-K86231656,17
BRD-K05396879,1
BRD-A02759312,16
BRD-A01346607,11
BRD-A06390036,8
BRD-A02710418,4
BRD-A06726973,14
BRD-A06276885,10
BRD-A01295252,5
BRD-A69592287,6
BRD-A69592287,13
BRD-A69592287,13
BRD-A69592287,6
BRD-K90370028,2
BRD-K90370028,5
BRD-K90370028,6
BRD-K90370028,7
BRD-K25444257,13
BRD-K25444257,6
BRD-K25444257,1
BRD-K25444257,7
BRD-K19326298,7
BRD-K19326298,6
BRD-K19326298,14
BRD-K19326298,10
BRD-K16582605,1
BRD-K16582605,7
BRD-K16582605,5
BRD-K16582605,6
BRD-K45028728,6
BRD-K45028728,12
BRD-K45028728,7
BRD-K45028728,6
BRD-K55896799,6
BRD-K55896799,7
BRD-K55896799,13
BRD-K79254416,6
BRD-K58547375,7
BRD-K58547375,6
BRD-K58547375,6
BRD-K58547375,6
BRD-K98948170,13
BRD-K98948170,7
BRD-K98948170,6
BRD-K98948170,6
BRD-K93367411,9
BRD-K93367411,9
BRD-K93367411,10
BRD-K93367411,15
BRD-K36452089,11
BRD-K36452089,7
BRD-K36452089,6
BRD-K36452089,5
BRD-K07572174,6
BRD-K07572174,12
BRD-K07572174,3
BRD-K07572174,11
BRD-K91338578,13
BRD-K91338578,9
BRD-K91338578,6
BRD-K91338578,6
BRD-A58955223,11
BRD-A58955223,6
BRD-A58955223,13
BRD-K73037408,15
BRD-K73037408,6
BRD-K73037408,9
BRD-K73037408,5
BRD-K16604218,6
BRD-K16604218,6
BRD-K16604218,2
BRD-K16604218,5
BRD-K00640357,1
BRD-K00640357,6
BRD-K00640357,6
BRD-K00640357,6
BRD-K65389993,13
BRD-K65389993,9
BRD-K65389993,13
BRD-K65389993,13
BRD-K11306851,1
BRD-K11306851,3
BRD-K11306851,6
BRD-K11306851,6
BRD-K65111630,17
BRD-K65111630,6
BRD-K65111630,13
BRD-K65111630,9
BRD-K73183319,5
BRD-K73183319,9
BRD-K73183319,12
BRD-K73183319,9
BRD-K92084213,6
BRD-K92084213,9
BRD-K92084213,6
BRD-K92084213,6
BRD-K37417543,12
BRD-K37417543,13
BRD-K37417543,6
BRD-K37417543,13
BRD-K14700434,9
BRD-K14700434,6
BRD-K14700434,6
BRD-K14700434,7
BRD-K58044374,13
BRD-K58044374,6
BRD-K58044374,17
BRD-K58044374,7
HBV,16
